Round,Game,Winner,Score,Total Stoppage Time,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10
Group A,South Africa vs Mexico,tie,1-1,4,55(S),79(M),,,,,,,,
,Uruguay vs France,tie,0-0,4,,,,,,,,,,
,South Africa vs Uruguay,Uruguay,0-3,6,24(W),80(W),90(W),76(L),,,,,,
,France vs Mexico,Mexico,0-2,3,64(W),79(W),,,,,,,,
,France vs South Africa,South Africa,1-2,5,70(L),20(W),37(W),,,,,,,
,Mexico vs Uruguay,Uruguay,0-1,4,43(W),,,,,,,,,
Group B,South Korea vs Greece,South Korea,2-0,3,7(W),52(W),,,,,,,,
,Argentina vs Nigeria,Argentina,1-0,5,6(W),,,,,,,,,
,Argentina vs South Korea,Argentina,4-1,3,16(W),33(W),76(W),80(W),45(L),,,,,
,Greece vs Nigeria,Greece,2-1,5,44(W),71(W),16(L),,,,,,,
,Nigeria vs South Korea,tie,2-2,4,12(N),69(N),38(S),49(S),,,,,,
,Greece vs Argentina,Argentina,0-2,3,77(W),89(W),,,,,,,,
Group C,England vs USA,tie,1-1,5,4(E),40(U),,,,,,,,
,Algeria vs Slovenia,Slovenia,0-1,6,79(W),,,,,,,,,
,Slovenia vs USA,tie,2-2,5,13(S),42(S),48(U),82(U),,,,,,
,England vs Algeria,tie,0-0,4,,,,,,,,,,
,Usa vs Algeria,USA,1-0,5,90(W),,,,,,,,,
,Slovenia vs England,England,0-1,5,23(W),,,,,,,,,
Group D,Serbia vs Ghana,Ghana,0-1,4,84(W),,,,,,,,,
,Germany vs Australia,Germany,4-0,4,8(W),26(W),67(W),70(W),,,,,,
,Germany vs Serbia,Serbia,0-1,5,38(W),,,,,,,,,
,Ghana vs Australia,tie,1-1,5,25(G),11(A),,,,,,,,
,Ghan vs Germany,Germany,0-1,5,60(W),,,,,,,,,
,Australia vs Serbia,Australia,2-1,6,69(W),73(W),84(L),,,,,,,
Group E,Netherlands vs Denmark,Netherlands,2-0,4,46(W),85(W),,,,,,,,
,Japan vs Cameroon,Japan,1-0,5,39(W),,,,,,,,,
,Netherlands vs Japan,Netherlands,1-0,4,53(W),,,,,,,,,
,Cameroon vs Denmark,Denmark,1-2,4,10(L),33(W),61(W),,,,,,,
,Cameroon vs Netherlands,Netherlands,1-2,3,65(L),36(W),83(W),,,,,,,
,Denmark vs Japan,Japan,1-3,6,81(L),17(W),30(W),87(W),,,,,,
Group F,Italy vs Paraguay,tie,1-1,4,63(I),39(P),,,,,,,,
,New Zealand vs Slovakia,tie,1-1,5,90(N),50(S),,,,,,,,
,Slovakia vs Paraguay,Paraguay,0-2,5,27(W),86(W),,,,,,,,
,Italy vs New Zealand,tie,1-1,5,29(I),7(A),,,,,,,,
,Paraguay vs New Zealand,tie,0-0,4,,,,,,,,,,
,Slovakia vs Italy,Slovakia,3-2,8,25(W),73(W),89(W),81(L),90(L),,,,,
Group G,Ivory Coast vs Portugal,tie,0-0,4,,,,,,,,,,
,Brazil vs North Korea,Brazil,2-1,3,55(W),72(W),89(L),,,,,,,
,Brazil vs Ivory Coast,Brazil,3-1,4,25(W),50(W),62(W),79(L),,,,,,
,Portugal vs North Korea,Portugal,7-0,3,29(W),53(W),56(W),60(W),89(W),81(W),87(W),,,
,North Korea vs Ivory Coast,Ivory Coast,0-3,6,14(W),20(W),82(W),,,,,,,
,Portugal vs Brazil,tie,0-0,6,,,,,,,,,,
Group H,Honduras vs Chile,Chile,0-1,4,34(W),,,,,,,,,
,Spain vs Switzerland,Switzerland,0-1,6,52(W),,,,,,,,,
,Chile vs Switzerland,Chile,1-0,4,75(W),,,,,,,,,
,Spain vs Honduras,Spain,2-0,4,17(W),51(W),,,,,,,,
,Switzerland vs Honduras,tie,0-0,5,,,,,,,,,,
,Chile vs Spain,Spain,1-2,3,47(L),24(W),37(W),,,,,,,
Round 16,Uruguay vs South Korea,Uruguay,2-1,4,8(W),80(W),68(L),,,,,,,
,USA vs Ghana,Ghana,1-2,"4, 2, 4",62(L),5(W),93(W),,,,,,,
,Germany vs England,Germany,4-1,3,20(W),32(W),67(W),70(W),37(L),,,,,
,Argentina vs Mexico,Argentina,3-1,4,26(W),52(W),33(W),71(L),,,,,,
,Netherlands vs Slovakia,Netherlands,2-1,6,18(W),84(W),90(L),,,,,,,
,Brazil vs Chile,Brazil,3-0,3,34(W),38(W),59(W),,,,,,,
,Paraguay vs Japan,Paraguay (P),0-0,"4, 1, 0",,,,,,,,,,
,Spain vs Portugal ,Spain,1-0,4,63(W),,,,,,,,,
Quarter Finals,Netherlands vs Brazil,Netherlands,2-1,4,53(W),68(W),10(L),,,,,,,
,Uruguay vs Ghana,Uruguay (P),1-1,"4, 0, 3",55(W),45(L),,,,,,,,
,Argentina vs Germany,Germany,0-4,2,3(W),68(W),89(W),74(W),,,,,,
,Paraguay vs Spain,Spain,0-1,5,83(W),,,,,,,,,
Semi-Finals,Uruguay vs Netherlands,Netherlands,2-3,7,41(L),90(L),18(W),70(W),73(W),,,,,
,Germany vs Spain,Spain,0-1,4,73(W),,,,,,,,,
Finals,Netherlands vs Spain,Spain,0-1,"4, 2, 4",116(W),,,,,,,,,
Third,Uruguay vs Germany,Germany,2-3,4,28(L),51(L),19(W),56(W),82(W),,,,,
