Round,,Game,Winner,Score,Total Stoppage Time,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10
Groups,Group A,Brazil vs Croatia,Brazil,3-1,5,29 (W),71 (W),90+1(W),11(L),,,,,,
,,Mexico vs Cameroon,Mexico,1-0,4,61(W),,,,,,,,,
,,Brazil vs Mexico,tie,0-0,4,,,,,,,,,,
,,Cameroon vs Croatia,Croatia,0-4,3,11(W),48(W),61(W),73(W),,,,,,
,,Cameroon vs Brazil,Brazil,1-4,5,26(L),17(W),34(W),49(W),84(W),,,,,
,,Croatia vs Mexico,Mexico,3-1,5,87(L),72(W),75(W),82(W),,,,,,
,Group B,Spain vs Netherlands,Netherlands,5-1,4,27(L),44(W),72(W),53(W),80(W),64(W),,,,
,,Chile vs Australia,Chile,3-1,4,12(W),14(W),90+2(W),35(L),,,,,,
,,Australia vs Netherlands,Netherlands,3-2,4,21(L),54(L),20(W),58(W),68(W),,,,,
,,Spain vs Chile,Chile,0-2,7,19(W),43(W),,,,,,,,
,,Australia vs Spain,Spain,0-3,4,36(W),69(W),82(W),,,,,,,
,,Netherlands vs Chile,Netherlands,2-0,4,77(W),90+2(W),,,,,,,,
,Group C,Colombia vs Greece,Colombia,3-0,4,5(W),58(W),90+3(W),,,,,,,
,,Colombia vs Ivory Coast,Colombia,2-1,5,64(W),70(W),73(L),,,,,,,
,,Ivory Coast vs Japan,Ivory Coast,2-1,6,64(W),66(W),16(W),,,,,,,
,,Japan vs Greece,tie,0-0,5,,,,,,,,,,
,,Japan vs Colombia,Colombia,1-4,4,46(L),17(W),55(W),82(W),89(W),,,,,
,,Greece vs Ivory Coast,Greece,2-1,4,42(W),90+3(W),74(L),,,,,,,
,Group D,England vs Italy,Italy,1-2,6,37(L),35(W),50(W),,,,,,,
,,Uruguay vs Costa Rica,Costa Rica,1-3,6,24(L),54(W),57(W),84(W),,,,,,
,,Uruguay vs England,Uruguay,2-1,6,39(W),85(W),75(L),,,,,,,
,,Italy vs Costa Rica,Costa Rica,0-1,4,44(W),,,,,,,,,
,,Italy vs Uruguay,Uruguay,0-1,6,81(W),,,,,,,,,
,,Costa Rica vs England,tie,0-0,4,,,,,,,,,,
,Group E,Switzerland vs Exuador,Switzerland,2-1,4,48(W),90+3(W),22(L),,,,,,,
,,France vs Honduras,France,3-0,4,45(W),72(W),48(W),43(W),,,,,,
,,Switzerland vs France,France,5-2,4,81(L),87(L),17(W),18(W),40(W),67(W),73(W),,,
,,Honduras vs Ecuador,Ecuador,2-1,5,31(L),34(W),65(W),,,,,,,
,,Ecuador vs France,tie,0-0,5,,,,,,,,,,
,,Honduras vs Switzerland,Switzerland,0-3,3,6(W),31(W),71(W),,,,,,,
,Group F,Argentina vs Bosnia and Herzegovina,Argentina,2-1,4,3(W),65(W),84(L),,,,,,,
,,Iran vs Nigeria,tie,0-0,3,,,,,,,,,,
,,Argentina vs Iran,Argentina,1-0,5,90+1(W),,,,,,,,,
,,Nigeria vs Bosnia and Herzegovina,Nigeria,1-0,4,29(W),,,,,,,,,
,,Bosnia and Herzegovina vs Iran,Bosnia and Herzegovina,3-1,4,23(W),59(W),83(W),82(L),,,,,,
,,Nigeria vs Argentina,Argentina,3-2,5,4(L),47(L),3(W),46(W),50(W),,,,,
,Group G,Ghana vs USA,USA,2-1,6,82(L),1(W),86(W),,,,,,,
,,Germany vs Portual,Germany,4-0,2,46(W),12(W),78(W),32(W),37(L),,,,,
,,Germany vs Ghana,tie,2-2,5,51(Ge),71(Ge),54(Gh),63(Gh),,,,,,
,,Usa vs Portugal,tie,2-2,6,64(U),81(U),5(P),90+5(P),,,,,,
,,USA vs Germany,Germany,0-1,4,55(W),,,,,,,,,
,,Portugal vs Ghana,Portugal,2-1,6,30(W),80(W),57(L),,,,,,,
,Group H,Belgium vs Algeria,Belgium,2-1,4,70(W),80(W),25(L),,,,,,,
,,Russia vs South Korea,tie,1-1,5,74(R),68(SK),,,,,,,,
,,South Korea vs Algeria,Algeria,2-4,5,50(L),72(L),26(W),28(W),38(W),62(W),,,,
,,Belgium vs Russia,Belgium,1-0,4,88(W),,,,,,,,,
,,South Korea vs Belgium,Belgium,0-1,5,77(W),,,,,,,,,
,,Algeria vs Russia,tie,1-1,5,60(A),6(R),,,,,,,,
Round 16,Brazil vs Chile,,Brazil (P),1-1,"4, 2, 3",18(W),32(W),,,,,,,,
,Colombia vs Uruguay,,Colombia,2-0,4,28(W),50(W),,,,,,,,
,Netherlands vs Mexico,,Netherlands,2-1,7,88(W),90+4(W),48(L),,,,,,,
,Costa Rica vs Greece,,Costa Rica (P),1-1,"6, 1, 3",52(W),90+1(L),,,,,,,,
