Round,,Game,Winner,Score,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10
Groups,Group A,Russia vs Saudi Arabia,Russia,5-0,11:33,42:12,70:51,90:46,93:57,,,,,
,,Russia vs Egypt,Russia,3-1,47(R),59(R),62(R),73(E),,,,,,
,,Russia vs Uruguay,Uruguay,0-3,10,23,89,,,,,,,
,,Egypt vs Saudi Arabia,Egypt,2-1,22(E),48(S),94:06(S),,,,,,,
,,Egypt vs Uruguay,Uruguay,0-1,89:00,,,,,,,,,
,,Saudi Arabia vs Uruguay,Uruguay,0-1,23,,,,,,,,,
,Group B,Portugal vs Spain,tie,3-3,3:31(P),23:06(S),43:42(P),54:04(S),57:23(S),87:02(P),,,,
,,Portugal vs Morocco,Portugal,1-0,4,,,,,,,,,
,,Portugal vs Iran,tie,1-1,45(P),92:48(I),,,,,,,,
,,Spain vs Morocco,tie,2-2,14(M),19(S),81(M),90:32(S),,,,,,
,,Spain vs Iran,Spain,1-0,54,,,,,,,,,
,,Iran vs Morocco,Iran,1-0,94:07,,,,,,,,,
,Group C,France vs Austraila,France,2-1,57:10(F),61:17(A),79:57(F),,,,,,,
,,France vs Peru,France,1-0,34,,,,,,,,,
,,France vs Denmark,tie,0-0,,,,,,,,,,
,,Denmark vs Austraila,tie,1-1,7(D),38(A),,,,,,,,
,,Denmark vs Peru,Denmark,1-0,58:33,,,,,,,,,
,,Peru vs Austraila,Peru,2-0,18,50,,,,,,,,
,Group D,Argentina vs Iceland,tie,1-1,18:37(A), 22:51(I),,,,,,,,
,,Argentina vs Croatia,Crotia,0-3,53,80,90:48,,,,,,,
,,Argentina vs Nigeria,Argentina,2-1,14(A),51(N),86(A),,,,,,,
,,Nigeria vs Croatia,Croatia,0-2,31:52,70:52,,,,,,,,
,,Nigeria vs Iceland,Nigeria,2-0,49,75,,,,,,,,
,,Croatia vs Iceland,Nigeria,2-1,53(C),76(I),89(C),,,,,,,
,Group E,Brazil vs Switzerland,tie,1-1,19:08(B),49:29(S),,,,,,,,
,,Brazil vs Costa Rica,Brazil,2-0,90:27,96:49,,,,,,,,
,,Brazil vs Serbia,Brazil,2-0,36,68,,,,,,,,
,,Switzerland vs Costa Rica,tie,2-2,31(S),56(C),88(S),92:56(C),,,,,,
,,Switzerland vs Serbia,Switzerland,2-1,5(S),52(S),89:40(S),,,,,,,
,,Serbia vs Costa Rica,Serbia,1-0,55:59,,,,,,,,,
,Group F,Mexico vs Sweden,Sweden,0-3,50,62,74,,,,,,,
,,Mexico vs Germany,Mexico,1-0,35:10,,,,,,,,,
,,Mexico vs South Korea,Mexico,2-1,26(M),66(M),92:07(S),,,,,,,
,,Sweden vs Germany,Germany,1-2,32(S),48(G) ,94:42(G),,,,,,,
,,Sweden vs South Korea,Sweden,1-0,64:40,,,,,,,,,
,,South Korea vs Germany,South Korea,2-0,91:06,95:52,,,,,,,,
,Group G,Belgium vs Tunsia,Belgium,5-2,6(B),B(16),18(T),48(B),51(B),89(B),92:23(T),,,
,,Belgium vs Panama,Belgium,3-0,46:40,68:10,74:40,,,,,,,
,,Belgium vs England,Belgium,1-0,51,,,,,,,,,
,,Panama vs Tunsia,Tunsia,1-2,33(P),51(T),66(T),,,,,,,
,,Panama vs England,England,1-6,8(E),22(E),36(E),40(E),46(E),62(E),78(P),,,
,,England vs Tunsia,England,2-1,11(E),35(T),90:32(E),,,,,,,
,Group H,Colombia vs Japan,Japan,1-2,5:15(J), 38:14(C),72:39(J),,,,,,,
,,Colombia vs Poland,Colombia,3-0,40,70,75,,,,,,,
,,Colombia vs Senegal,Colombia,1-0,74,,,,,,,,,
,,Senegal vs Poland,Senegal,2-1,37(S),60(S),86(P),,,,,,,
,,Senegal vs Japan,tie,2-2,11(S),34(J),71(S),78(J),,,,,,
,,Japan vs Poland,Poland,0-1,59,,,,,,,,,
Round 16,Uruguay vs Portugal,,Uruguay,2-1,7(U),55(P),62(U),,,,,,,
,France vs Argentina,,France,4-3,13(F),41(A),48(A),57(F),64(F),68(F),92:27(A),,,
,Brazil vs Mexico,,Brazil,2-0,51(B),88(B),,,,,,,,
,Belgium vs Japan,,Belgium,3-2,48(J),52(J),69(B),74(B),93:43(B),,,,,
,Spain vs Russia,,Russia (Penalties),1-1,11(S),41(R),,,,,,,,
,Croatia vs Denmark,,Croatia (Penalties),1-1,1(C),4(D),,,,,,,,
,Sweden vs Switzerland,,Sweden,1-0,66(Sw),,,,,,,,,
,Colombia vs England,,England (Penalties),1-1,57(E),92:33(C),,,,,,,,
Quarter Finals,Uruguay vs France,,France,0-2,,,,,,,,,,
,Sweden vs England,,,,,,,,,,,,,
,Brazil vs Belgium,,Belgium,1-2,,,,,,,,,,
,Russia vs Croatia,,,,,,,,,,,,,
Semi-Finals,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Finals,,,,,,,,,,,,,,
